question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
42,teiet150,teiet050,teiet210,teiet215,teiet010,teiet110,teiet160,teiet060,gov_eu_nfa,bs_bs7_04
43,lfsi_jhh_a,tps00181,rd_p_sen,isoc_sk_cskl_i$dv_266,sdg_11_20,ilc_li22$dv_2664,ilc_lvho50c,ilc_pns5,ilc_lvho50d,sdg_16_20
44,tespn250,tespn270,lfsi_jhh_a,earn_gr_gpgr2ag,hsw_aw_ws2,hsw_ind,hsw_ij_svsha,hsw_ij_svnia,gbv_any_cnq,gbv_ipv_cnq
45,bs_bs14_04,med_ps414,ilc_lvho50d,med_ec3,med_ec0,med_ps312,isoc_ci_in_h$dv_512,med_ps311,med_ps32,isoc_sk_cskl_i$dv_266
46,mar_mg_aa_cwh,med_ps26,tepsr_wc310,cei_gsr011,sdg_10_10,sdg_08_10,cei_pc035,tec00114,tec00115,trng_nfe18
47,med_rd2,enps_road_eqs_car,med_en3,road_eqr_tracm,road_eqs_roaene_h,med_rd5,med_rd3,nrg_d_sercv,road_eqs_busmot_h,road_eqr_bum
48,mar_qg_qm_ewhk,mar_qg_qm_ewhg,mar_qg_qm_ewht,mar_qg_qm_ewhd,mar_qg_qm_cwh,mar_qg_qm_pwhr,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_pwhc,mar_qg_qm_pvh
49,mar_qg_qm_cwh,tps00181,med_en24,lfsi_jhh_a,ilc_mdes03$dv_2702,mar_qg_qm_pwhc,mar_qg_qm_ewht,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_ewhd
50,med_ps32,enps_env_ww_con,tin00127,med_en21,med_en47,isoc_ci_ac_i$dv_1122,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,med_ps423
51,tipsii50,med_ec0,med_ec4,med_ec3,tipsii40,tipsbp22,gov_eu_nfa,med_ec2,med_ec7,med_ec6
52,rail_tf_ns10_dk,rail_tf_ns_dk,rail_tf_ns15_dk,rail_tf_ns20_dk,mar_qg_qm_pvh,mar_qg_qm_ewht,rail_tf_ns10_mk,rail_tf_ns10_li,rail_tf_ns10_no,rail_tf_ns10_lv
53,mar_qg_qm_ewhk,mar_mg_am_pvh,mar_qg_qm_pwhc,mar_qg_qm_pvh,tran_im_uroad,tran_im_urail,mar_sg_am_pwc,mar_mg_aa_pwhd,mar_sg_am_ewx,tran_im_mospt
54,tipslm15,tqoe3b4,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,earn_gr_goeg,hsw_aw_ws2,sdg_05_10,tepsr_wc130,lfsi_jhh_a
55,enpe_sts_incopr,mar_qg_qm_pvh,sts_tot_prod_a,teiis270,teiis500,teiis090,teiis120,teiis110,teiis130,teiis140
56,rd_p_sen,ilc_lvps20,tespm020,enps_nrg_bal_c,educ_fiexpc,sdg_09_60,tesov190,tespn250,tespn270,tran_im_umod
57,isoc_sk_cskl_i$dv_266,tgs00052,tin00127,isoc_ci_ac_i$dv_1122,isoc_r_cux_i,tps00194,isoc_ci_cm_h$dv_507,med_ps32,tin00096,tin00028
58,med_ps12,tps00199,tps00029,tps00204,tps00019,tps00206,tps00216,demo_r_find3$dv_1541,enps_demo_gind,gbv_any_cnq
59,mar_qg_qm_ewhk,tran_im_uroad,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,env_ac_mid,mar_v_est,mar_sg_am_ewx,tipsun30,gbv_ch_rp
60,ilc_scp07$dv_1064,hlth_ehis_al3i$dv_461,hlth_ehis_al3e$dv_450,ilc_scp12$dv_2746,ilc_scp10$dv_2744,tin00111,earn_ses_pub1s$dv_354,ilc_scp01$dv_1061,iss_21covt,earn_ses_pub1i$dv_353
61,tai08,cei_gsr011,med_en2,sdg_02_40,teiis080,enps_env_air_emis,teiis011,hsw_aw_ws2,egr_mne_n2sc,env_ac_egss3
62,teimf250,tipser13,tipser11,tipser12,tipser10,tipser20,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,hsw_ij_isna
63,rd_p_sen,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,tran_sf_raildg,rail_ac_dnggood,ten00139,iss_18bfbck,tipsun30,sts_tot_prod_a
64,gbv_ch_rp,mar_qg_qm_ewhk,ilc_scp12$dv_2746,ilc_scp10$dv_2744,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,hsw_aw_nnaws,hsw_aw_inaws,gov_eu_nfa
65,educ_fiaid,med_ps23,educ_iste,educ_uoe_fini06,educ_uoe_enra07,lfst_dpw_04,educ_uoe_fina01,enpe_educ_uoe_enra02,gbv_any_cnq,gbv_ipv_cnq
66,eq_pop03,trng_nfe16,lfst_dpw_06,hsw_ij_isna,qoe_ewcs_7b2,tsc00025,qoe_ewcs_6_6,tps00028,qoe_ewcs_7b1,qoe_ewcs_4a5
67,tespm020,tesov190,tessi014,tessi121,tespn250,tessi175,tessi166,tespn270,rd_p_sen,tessi176
68,mar_qg_qm_ewhk,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,med_rd6,enpe_sts_trtu,mar_qg_qm_pvh,tran_im_urail,tec00114,mar_qg_qm_ewht
69,sdg_05_10,lfsi_jhh_a,gbv_dv_age,gbv_ipv_age,gbv_npv_age,gbv_shw_age,gbv_any_age,gbv_ch_age,gbv_st_age,educ_uoe_enra05$dv_441
70,mar_qg_qm_pwhc,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_pwhr,mar_qg_qm_ewhg,mar_qg_qm_ewhk,mar_qg_qm_ewht,mar_qg_qm_ewhd,mar_qg_qm_cwh,mar_qg_qm_pvh
71,earn_mw_avgr2,earn_mw_avgr1,gbv_npv_cnq,ilc_lvhd02,rd_p_sen,tesem190,gbv_any_cnq,gbv_ipv_cnq,gov_eu_nfa,med_ec0
72,env_ac_egss3,teina404_r2,teiet215,teiet150,teiet050,teiet040,teiet140,teina406_r2,enps_env_wat_cat,hsw_ij_isna
73,prc_rem_cs,bop_its_str,irt_h_cgby_m,road_eqs_trams,bs_bs7_00,cens_91dame,irt_h_cgby_q,bs_bs8_00,hlth_hlye_h,rail_ac_catnmbr
74,trng_aes_187,isoc_ci_cm_h$dv_507,tin00116,tag00020,enps_edat_lfse4,tin00095,lfst_dpw_06,tps00066,eq_pop03,qoe_ewcs_6_6
75,road_go_ca_d_c,road_tert_go,med_rd6,road_go_ca_d_ha,road_go_ca_c,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,tran_im_urail,tec00114
76,met_ipr_dfa,met_ipr_dr,ipr_dfa_tot,ipr_dr_tot,met_ipr_dfapop,env_ac_egss3,educ_uoe_lang03,sdg_09_70,tag00057,educ_iste
77,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,mar_qg_qm_pwhc,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_pwhr,mar_qg_qm_pvh,mar_qg_qm_ewhg,mar_qg_qm_ewht
78,mar_qg_qm_pvh,tps00176,tps00177,tps00024,med_ec1,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,med_ra3,gbv_ch_rp
79,orch_olives3,orch_olives2,orch_olives1,orch_total,orch_grapes3,tai10,med_ag2,apri_lprc_h,apri_lrnt_h,isoc_cbs
80,gbv_st_rp,gbv_awr_leg,gbv_ch_rp,gbv_shw_rp,gbv_awr_serv,gbv_ipv_rp,gbv_npv_rp,gbv_any_rp,egr_mne_n2sc,lfsi_jhh_a
81,med_air2,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,gov_eu_nfa,enps_nrg_bal_c,bs_bs8_00,tps00173,rd_p_sen,ilc_mdho03c
82,rail_tf_ns15_cz,rail_tf_ns20_cz,rail_tf_ns15_mk,rail_tf_ns15_li,mar_qg_qm_pvh,rail_tf_ns15_no,rail_tf_ns15_lv,rail_tf_ns15_ee,mar_qg_qm_ewht,rail_tf_ns15_ie
83,lfsi_jhh_a,tgs00108,teiis230,teiis270,sts_tot_prod_a,iss_21gvcms,crim_pris_cap,tipsun30,mar_qg_qm_cwh,mar_qg_qm_pwhc
84,sdg_16_20,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,gbv_ch_rp,hlth_cd_aperrto,sdg_05_10,mar_qg_qm_cwh,gbv_st_rp,tgs00052
85,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,hlth_hlye_h,hlth_hlye$dv_287,tps00204,sdg_03_11,tps00150,tps00208,hlth_hlye$dv_2041
86,rd_p_sen,gbv_npv_du,gbv_npv_cnq,gbv_dv_du,isoc_sk_cskl_i$dv_266,gbv_npv_ed,crim_pris_cap,ilc_scp12$dv_2746,ilc_scp10$dv_2744,hsw_aw_ws2
87,med_rd6,enps_avia_fr,med_rd5,med_air5,med_air4,tran_im_urail,enps_road_go,road_pa_mov,med_en3,ttr00011
88,tin00091,enpe_isoc_ci_ifp_fu,hlth_ehis_al1e$dv_1142,ilc_scp07$dv_1064,ilc_scp12$dv_2746,ilc_scp10$dv_2744,isoc_ci_ac_i$dv_1122,tin00092,cult_pcs_nws,tin00102
89,bs_bs4_06,gov_eu_nfa,tin00116,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,tag00027,lc_lci_r1_cow,tag00094,teiet210
90,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,tps00017,med_ps12,rd_p_sen,hsw_ind,sdg_05_10,med_ps25,gbv_ch_rp
91,edat_lfso_00t2,med_ps24,med_ps422,enps_edat_lfse3,educ_ipart$dv_437,med_ec0,educ_fiaid,med_ps423,tps00176,tps00177
92,ipr_da_tot,ipr_da_typ,ipr_da_pop,ipr_da_gdp,med_en46,met_ipr_da,urt_ipr_da,tps00176,tps00177,tps00024
93,tai11,sdg_14_60,tag00094,mar_qg_qm_ewhk,tps00217,med_ps423,mar_sg_am_ewx,edat_lfso_00t2,tai10,med_en63
94,iss_18bfbck,mar_pa_qm_me,trng_aes_186,migr_eilpop,trng_nfe18,edat_lfso_00t5,irt_h_cgby_m,ei_bsci_m_r2,irt_lt_gby10_m,teimf200
95,egi_va2,egi_em3,teina416_r2,teina412_r2,sdg_17_20,teina408_r2,teina424_r2,teina432_r2,teina400_r2,teina428_r2
96,tin00172,ilc_lvhd02,enps_tour_occ_arnat,tin00175,tin00174,tin00171,enpe_tour_cap_nat,enps_tour_occ_ninat,tin00181,enps_tour_cap_nat
97,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,pipe_if_capac,teibs070,crim_pris_cap,sdg_03_70,med_en24,tin00092,gbv_ch_rp
98,teiis080,teiis011,env_air_no2,lfsi_jhh_a,iss_21gvcms,edat_lfso_00t4,tran_hv_ms_frmod,ttr00016,env_ac_egss3,enpe_sts_incopr
99,tipslm80,tesem140,tipsun20,tipsun30,tipslm70,eq_pop03,educ_uoe_enra05$dv_441,tesem120,sdg_08_40,tesem130
