question_id,question,table_id
63,What was the percentage of GDP allocated to private sector credit flow in non-financial corporations for Slovakia in 2021?,tipspc25
64,What weight of waste was generated by Hungarian households in 2004?,ten00110
65,"In 2018, what is the ratio of pupils to teachers and teacher aides for primary education in Iceland?",educ_uoe_perp05
66,What fraction of employees aged 25 to 64 years received regular feedback from supervisors in Belgium in 2015?,qoe_ewcs_7b2
67,What was the at-risk-of-poverty threshold for a single household in Cyprus in 2015?,tespm020
68,What was the volume of national road freight transport in Lithuania in 2008?,road_tert_go
69,What is the percentage of women aged 18 to 29 that experienced violence by a domestic perpetrator in Estonia during 2021?,gbv_dv_age
70,What is the weight of goods transported in Czechia in the last quarter of 2021?,rail_go_quartal
71,"In 2020, what was the median saving rate of employed persons in Bulgaria as a percentage of disposable income?",icw_sr_15
72,What was the production value at basic price for the agricultural industry in Portugal in 2023?,tag00102
73,What was the number of trams in the United Kingdom in 1992?,road_eqs_trams
74,What fraction of Dutch people aged 25 to 64 got information on learning opportunities through their relatives in 2007?,trng_aes_187
75,What was the volume of road cabotage transport in Finland for 1992?,road_go_ca_d_c
76,How many community designs were filed in Hungary in 2010?,ipr_dfa_tot
77,"In 2017, what was the abortion rate in Georgia?",demo_fabortind
78,What was the rail passenger traffic in Algeria during 2018?,med_ra5
79,What area did olive tree plantations with more than 400 trees per hectare occupy in Italy in 2017?,orch_olives3
80,What proportion of female victims of violence were aware of free legal aid in Montenegro during 2021?,gbv_awr_leg
81,"In 2015, what was the length of paved airport runways in Jordan for those longer than 2,438 meters?",med_air2
82,What was the passenger train traffic on the Cheb - Beroun connection in 2015?,rail_tf_ns15_cz
83,How many deaths were recorded in Belgium in 2021?,tps00029
84,"In the United Kingdom, what percentage of the population reported crime, violence, or vandalism in their area in 2016?",sdg_16_20
85,What was the fertility rate in Greece in 2015?,enps_demo_frate1
86,"In the Netherlands in 2021, what fraction of women that underwent intimate partner violence had tertiary education level?",gbv_ipv_ed
87,"In 2008, how many new goods road vehicles were registered in Morocco?",med_rd5
88,What percentage of the Spanish population had an internet access on a daily basis in 2023?,tin00092
89,"In 2006 in Sweden, what was the turnover of advertising activities for clients whose place of residence is in another EU country?",bs_bs4_06
90,What was the mean age at first marriage for women in Egypt in 2008?,med_ps12
91,"In 2008, what was the completion rate for female students at the ISCED 1 level in Morocco?",enps_educ_comprate
92,What was the number of community design applications containing a single design in Canada in 2011?,ipr_da_typ
93,What percentage of Romanian ecosystems were impacted by droughts in 2003?,sdg_15_42
94,What is the number of crimes reported by the Polish Police in 1993?,crim_hist
95,What is the share of value added in Latvia supported by EU exports in 2021?,egi_va2
96,"In Armenia, how many non-residents were accommodated in hotels in 2022?",enpe_tour_occ_arnat
97,What is the daily carrying capacity of pipelines operated in Bulgaria in 2023?,pipe_if_capac
98,"In Norway, how many air transport passengers were registered in international flights in March 2024?",ttr00016
99,What is the proportion of people aged 15 to 24 in France in 2021?,eq_pop03
