question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
11,ilc_odbt09,isoc_sk_edic_i21,ilc_odbt08,isoc_cisci_prv,isoc_cisci_sp,isoc_ciegi_rtx,isoc_cisci_sp20,isoc_cisci_prv20,isoc_ci_ac_i,sbs_ins_5a
12,urb_percep,migr_asyumactm,isoc_iw_imp,migr_asyappctzm,migr_asyappctzm$dv_721,tps00191,tps00189,migr_asyappctza,migr_asyumacta,migr_asyctzm
13,mips_sa,urb_clivcon,urb_llivcon,tgs00107,ilc_peps11,ilc_peps11n,ilc_caindform25b,ilc_scp32$dv_2384,ilc_lvhd08,ilc_scp32
14,bop_euins6_m,bop_euins6_q,bop_euins6_a,gov_10a_main,bop_eu6_q,gov_10a_taxag,bop_c6_q,bop_c6_a,gov_10q_ggnfa,naidsq_10_nf_tr
15,prc_hicp_fp,prc_hicp_aind,prc_hicp_cmon,prc_hicp_inw,prc_hicp_midx,prc_hicp_cind,prc_hicp_manr,prc_hicp_mmor,prc_hicp_cann,prc_hicp_mv12r
16,sdg_06_10,ilc_mdho05,prc_dap12,prc_dap13,cens_91dame,prc_dap14,prc_dap15,tessi294,cens_01ndcomf,ilc_mdho03c
17,icw_pov_09,icw_pov_07,icw_pov_04,icw_pov_08,icw_pov_06,icw_pov_05,icw_pov_03,env_waseleeos,ilc_mddd04b,ilc_mddd05
18,isoc_iiot_bx,urb_percep,isoc_ci_ac_i,isoc_ciegi_rtx,isoc_ec_ibgs,isoc_ec_inb,isoc_iiot_use,isoc_sk_cskl_i,isoc_cisci_prv20,isoc_cisci_prv
19,isoc_ec_inb21,isoc_ciegi_rtx,isoc_ec_inb,isoc_ciegi_ac,isoc_eb_iipn2,isoc_ciegi_rtx$dv_516,isoc_sk_iskl_i,isoc_cisce_ran2,isoc_sk_iskl_i$dv_262,inn_cis9_ecodr
20,bop_euins6_m,ef_lus_allcrops,bop_euins6_q,ef_oluecsreg,bop_euins6_a,fats_g1b_08,ef_lu_ovcropesu,ef_lac_rootcrop,ef_lus_org,ef_lu_ovcropaa
21,sbs_sc_ovw,met_pat_epipc,sbs_na_2a_dade,isoc_iw_imp,fats_g1a_08,sbs_na_ind_r2,sbs_sc_ind_r2,sbs_sc_sca_r2,fats_g1a_rd,pat_ep_ripc
22,pat_ep_nipc,env_ww_spd,enps_env_ww_con,env_ww_genp,med_en21,ten00030,med_en46,env_ww_con,pat_ep_ripc,env_ww_genv
23,rail_tf_ns15_sk,rail_tf_ns10_sk,rail_tf_ns20_sk,rail_tf_ns_sk,rail_tf_ns15_lt,rail_tf_ns20_lt,rail_tf_ns10_lt,rail_tf_ns_lt,rail_tf_ns15_cz,rail_tf_ns15_mk
24,tour_dem_extotw,tour_dem_expw,tour_dem_extot,tour_dem_exacw,tour_dem_extrw,tour_dem_exws,tin00196,tin00195,tour_dem_exac,tour_dem_expur
25,urb_clivcon,isoc_iw_imp,urb_llivcon,mips_sa,ilc_peps01,urb_percep,ilc_caindform25b,ilc_caindform25,isoc_ci_hm,tgs00107
26,urb_percep,ilc_igtp04,isoc_cisci_sp20,isoc_cisci_sp,isoc_cisci_prv20,isoc_cisci_prv,isoc_ciegi_rtx,ilc_lvho04,ilc_mded04,ilc_mded05
27,rd_p_sen,isoc_ciegi_rtx,isoc_cisci_sp,isoc_cisci_prv,fats_g1b_08,urb_percep,lfso_05nowreh,educ_iste,isoc_cisci_sp20,isoc_cisci_prv20
28,urb_clivcon,urb_llivcon,ilc_pnp1,tespn050,ilc_pns1,ilc_pns7,tespn010,tespn110,tespn120,tipslc20
29,urb_percep,naidsa_10_nf_tr,naidsq_10_nf_tr,avia_gor_de,avia_gor_ie,rail_tf_ns20_fr,avia_par_de,avia_gor_fr,avia_gor_es,avia_par_fr
30,ilc_lvho05b,tessi177,tessi178,tessi176,sbs_sc_ovw,ilc_lvho06,ilc_lvho06q,isoc_pibi_rni,tus_00hhstatus,fats_activ
31,mar_go_aa,mar_go_qmc,mar_mg_am_cwhg,mar_qg_qm_pwho,mar_qg_qm_pwhb,mar_qg_qm_pwhr,mar_qg_qm_pwhl,mar_qg_qm_pwh,mar_qg_qm_pwhc,mar_qg_qm_ewhk
32,nasq_10_nf_tr,nasa_10_nf_tr,mips_sa,isoc_ciegi_rtx,isoc_ciegi_ac,sts_inpi_m,jvs_a_nace1,isoc_ec_ibuy,naidq_10_gdp,sts_inpi_q
33,ext_lt_intertrd,nrg_ti_coifpm,tet00028,inn_c214,mips_sa,sbs_sc_ovw$dv_1482,sbs_sc_ovw$dv_1601,sbs_sc_1b_se_r2$dv_664,gov_10a_taxag,sbs_sc_dt_r2
34,isoc_cisci_sp,isoc_cisci_prv,isoc_ciegi_rtx,isoc_cisci_sp20,isoc_cisci_prv20,isoc_sk_edic_i21,isoc_ciegi_pb22,isoc_ec_ibuy,isoc_sk_cskl_i,isoc_ec_iprb
35,ilc_pns5,tespn090,urb_percep,tespn060,tespn020,urb_clivcon,tespn250,tespn120,bop_fdi6_inc,prc_hicp_cind
36,urb_percep,isoc_e_cvdn2,mar_go_qm_lt,mar_go_qm_si,mar_go_qm_cy,mar_go_qm_hr,mar_go_qm_bg,mar_go_qm_mt,mar_go_qm_ro,mar_go_qm_lv
37,hlth_rs_grd,hlth_rs_grd2,hlth_rs_grd2$dv_2825,isoc_iw_imp,migr_dubduni,prc_hicp_fp,prc_hicp_aind,prc_hicp_cmon,prc_hicp_inw,prc_hicp_midx
38,iss_11sbbar,iss_18bfmmag,inn_cis10_gen,env_wasfac,lfso_04ownmisco,iss_imp,inn_cis11_gen,acf_d_eq1,acf_d_lo1,iss_21gvcsg
39,isoc_iw_imp,bop_its6_det,egr_mne_n2sc,egr_mne,egr_mne_empw,urb_percep,isoc_ec_ibgs,isoc_ci_hm,egr_emp,inn_cis8_gen
40,isoc_iw_imp,urb_percep,isoc_sk_cskl_i,isoc_ci_hm,isoc_ci_ac_i,cens_11fs_r3,cens_11ms_r3,prc_hicp_inw,prc_hicp_fp,prc_hicp_aind
41,irt_h_mr3_m,irt_h_mr3_q,irt_st_m,irt_st_q,fats_g1b_08,fats_ctrl,gov_10q_ggnfa,isoc_cisci_sp20,isoc_cisci_prv20,isoc_ciegi_rtx
42,prc_hicp_midx,prc_hicp_fp,prc_hicp_mmor,prc_hicp_manr,prc_hicp_mv12r,prc_hicp_aind,prc_hicp_inw,prc_hicp_cmon,prc_hicp_cind,prc_hicp_cann
43,isoc_sk_cskl_i,isoc_ci_hm,isoc_ec_iprb21,isoc_eid_ieid,isoc_ec_iprb,isoc_iw_imp,isoc_ec_ibgs,isoc_ciegi_rtx,isoc_ec_inb,isoc_cisci_prv
44,earn_gr_gpgr2ag,isoc_cisci_prv20,isoc_cisci_prv,fobs_edu,isoc_ciegi_pb22,urb_percep,earn_gr_gpgr2,earn_gr_gpg,earn_gr_gpgr2ct,earn_gr_gpgr2wt
45,isoc_cisci_prv,isoc_cisci_prv20,isoc_ciegi_rtx,isoc_ec_inb21,isoc_cisce_ran2,med_ps32,isoc_iw_imp,enps_ilc_secure,isoc_sk_iskl_i,isoc_sk_cskl_i
46,isoc_ciegi_rtx,isoc_cisce_ran2,isoc_cisci_prv20,isoc_cisci_prv,gov_10a_exp,isoc_sk_edic_i21,inn_cis9_prod,fats_g1a_08,spr_exp_fex,nama_10_cp18
47,urb_percep,road_tf_vehage,road_tf_veh_h,road_tf_veh,med_rd2,enps_road_eqs_car,road_eqs_roaene,road_eqr_tracmot,rail_tf_ns20_fr,road_eqs_roaene_h
48,mar_go_qmc,mar_go_aa,mar_qg_qm_ewh,mar_qg_qm_ewhd,mar_go_qm,mar_go_qm_no,mar_qg_qm_pwho,mar_qg_qm_pwhb,mar_qg_qm_pwhr,mar_qg_qm_pwhl
49,ilc_mdho02c,urb_percep,ilc_mdho05,ilc_mdho02,isoc_sk_cskl_i,isoc_ec_inb,isoc_ciegi_rtx,isoc_sk_how_i,isoc_ec_ibgs,sdg_06_10
50,enps_env_ww_con,isoc_sk_cskl_i,isoc_iiot_bx,isoc_iiot_use,med_en47,env_ww_con,env_ww_genp,isoc_cisce_ran2,env_ww_genv,isoc_e_cvdn2
51,bop_gdp6_q,mips_sa,tipsii50,naidsq_10_f_bs,pat_ep_ripc,gba_nabsfin92,nasa_10_f_oc,nasa_10_f_gl,gov_10q_ggfa,nasa_10_f_bs
52,rail_tf_ns10_dk,rail_tf_ns20_dk,rail_tf_ns_dk,rail_tf_ns15_dk,rail_tf_ns20_el,rail_tf_ns10_lt,rail_tf_ns20_lt,rail_tf_ns15_lt,rail_tf_ns_lt,cens_11ms_r3
53,mar_go_qmc,mar_mg_am_pvh,mar_tf_qm,mar_go_qm_c2024,mar_go_qm_c2010,mar_go_qm_c2008,mar_go_qm_c2006,mar_go_qm_c2022,mar_go_qm_c2012,mar_go_qm_c2014
54,isoc_ciegi_rtx,isoc_ciegi_pb22,isoc_cisci_sp,isoc_cisci_prv,isoc_cisci_prv20,isoc_cisci_sp20,migr_dubto,migr_dubti,isoc_sk_how_i,isoc_sk_edic_i21
55,sts_setu_m,sts_setu_q,ei_isrt_m,sts_trtu_m,sts_trtu_q,sts_setu_a,gov_10q_ggfa,ext_st_eu27_2020sitc,ext_st_easitc,sts_trtu_a
56,urb_percep,bop_its6_det,iww_go_qnave,isoc_iw_imp,mar_pa_qm_de,acf_d_eq1,iww_go_anave,bop_euins6_a,mar_go_qm_be,mar_go_qm_de
57,urb_percep,urb_clivcon,ilc_sbjp05,pat_ep_ripc,pat_ep_rtec,pat_ep_rtot,aei_pr_soiler,demo_r_pjanind3,tran_sf_roadnu,urb_ctran
58,demo_gind,sbs_sc_ovw,demo_r_gind3,tps00204,demo_ndivind,bd_9fh_sz_cl_r2,bd_9bd_sz_cl_r2,inn_cis6_orobj,inn_cis7_orobj,inn_cis6_obj
59,sbs_na_2a_dfdn,sbs_r_nuts03,inn_cis5_ham,inn_cis4_ham,isoc_cisce_ran2,env_wastrt,inn_cis6_eco,pat_ep_ripc,cens_01nadnac,inn_cis9_env
60,isoc_e_cvdn2,inn_gen,iss_21covt,sbs_sc_2d_dfdn02,sbs_sc_2d_dfdn95,sbs_sc_2d_dfdn98,hlth_cd_mro,inn_cis8_goals,hlth_cd_acdr2,hlth_cd_ycdr2
61,env_air_emis,env_ac_aibrid_r2,env_ac_aibrid_rd,env_air_gge,env_ac_ainah_rd,tai08,env_ac_mfadpo,env_ac_ainah_r2,env_ac_aeint_r2,med_en2
62,pat_ep_ripc,met_pat_epipc,mips_sa,pat_ep_nipc,ert_eff_ic_q,ert_eff_ic_m,ei_mfef_m,teimf250,isoc_cisce_ran2,ert_eff_ic_a
63,mips_sa,nasa_10_f_bs,naidsq_10_f_bs,nasa_10_f_oc,nasa_10_f_gl,gov_10q_ggfa,tipspc15,tipspc13,tipspc25,tipspc23
64,isoc_cisce_ran2,isoc_ci_ac_i,env_waseleeos,pat_ep_ripc,urt_pat_epipc,met_pat_epipc,pat_ep_nipc,pat_ep_npct,isoc_cisci_sp,isoc_cisci_prv
65,educ_uoe_perp05,educ_iste,educ_regind,educ_uoe_enrs10,educ_fipubin,educ_uoe_enra03,educ_uoe_perp04,educ_uoe_grad10,educ_uoe_enrt03,educ_uoe_grad03
66,isoc_sk_cskl_i,qoe_ewcs_7b2,isoc_cisci_ip20,isoc_cisci_pb,isoc_cisce_ran2,isoc_ec_iprb,isoc_ec_ibuy,isoc_cisci_ip,isoc_sk_dskl_i,isoc_sk_iskl_i
67,isoc_cisci_sp,isoc_cisci_sp20,isoc_ciegi_rtx,isoc_cisci_prv,isoc_cisci_prv20,isoc_ciegi_pb22,isoc_cisci_ip20,tespm020,isoc_sk_edic_i21,isoc_cisci_ip
68,mar_go_qm_lt,mar_go_qm_cy,mar_go_qm_bg,mar_go_qm_mt,mar_go_qm_pl,mar_go_qm_si,mar_go_qm_ro,mar_go_qm_pt,mar_go_qm_be,mar_go_qm_fi
69,gbv_ch_perp,urb_percep,gbv_dv_age,gbv_npv_perp,demo_r_pjanind3,gbv_any_cnq,gbv_dv_type,gbv_any_age,gbv_dv_cob,gbv_dv_lim
70,isoc_ec_ibgs,mar_qg_qm_ewht,mar_qg_qm_ewhk,mar_qg_qm_ewh,mar_qg_qm_cwh,mar_qg_qm_pwho,mar_qg_qm_ewhp,mar_qg_qm_pwhb,mar_qg_qm_pwhr,mar_qg_qm_pwhl
71,fats_g1b_08,gov_10a_main,nasa_10_nf_tr,nasq_10_nf_tr,isoc_cisci_sp20,isoc_cisci_sp,nasa_10_ki,isoc_cicci_use,fats_g1a_08,naidsq_10_nf_tr
72,fats_g1a_08,sbs_na_indc_lgt,sbs_na_2a_dfdn,fats_g1a_03,sbs_na_2c_own,inn_cis9_prod,inn_cis8_prod,inn_cis9_ecodr,sbs_na_2a_el,sbs_na_ind_r2
73,isoc_cisci_prv,urb_percep,isoc_cisci_sp,isoc_cisci_sp20,isoc_ciegi_rtx,isoc_cisci_prv20,isoc_sk_edic_i21,isoc_ciegi_pb22,tran_sf_roadve,cens_01nsres
74,isoc_sk_cskl_i,isoc_sk_how_i,urb_percep,isoc_ci_ac_i,isoc_cisci_prv,isoc_sk_how_i$dv_264,isoc_ciegi_rtx,isoc_cisci_prv20,prc_hicp_fp,prc_hicp_aind
75,road_go_tq_tott,mar_go_qm_it,mar_go_am_it,env_air_emis,env_air_emis$dv_446,sts_inpr_m,sts_setu_q,sts_inpi_m,sts_setu_a,road_go_ta_tott
76,isoc_iw_imp,ipr_dfa_tot,acf_d_eq1,iss_11sbbar,acf_d_lo1,bop_its6_det,cult_trd_prt,urb_percep,mar_pa_qm_be,mar_pa_qm_lt
77,fats_g1b_08,fats_ctrl,migr_dubri,migr_dubro,migr_dubto,migr_dubti,migr_dubdi,migr_dubdo,fats_g1b_03,isoc_cisci_sp20
78,mar_go_qm_lt,rail_tf_ns20_lt,mar_go_qm_si,rail_tf_ns10_lt,rail_tf_ns15_lt,rail_tf_ns_lt,mar_go_qm_cy,mar_go_qm_mt,mar_go_qm_bg,mar_go_qm_be
79,orch_olives2,orch_olives3,orch_apples3,orch_apples2,lan_lcv_ovw,orch_olives1,orch_total,ef_lu_pcolive,orch_oranges3,orch_grapes3
80,gbv_awr_leg,gbv_awr_serv,ef_olfreg,ef_kvecsleg,ef_lf_leg,ef_kvftreg,ef_kvaareg,demo_r_pjanind3,isoc_eid_ieid,demo_r_pjanind2
81,med_air2,isoc_cisci_prv20,isoc_cisci_prv,isoc_eb_iotn2,isoc_iw_ap,isoc_ec_iprb,isoc_ciegi_rtx,isoc_iiot_use,hsw_ij_cln,avia_gor_de
82,rail_tf_ns15_cz,rail_tf_ns10_cz,rail_tf_ns_cz,rail_tf_ns20_cz,rail_tf_ns15_de,rail_tf_ns20_el,rail_tf_ns15_lt,rail_tf_ns20_lt,rail_tf_ns10_lt,rail_tf_ns_lt
83,hlth_cd_yinfo,hlth_cd_yinfr,demo_r_gind3,isoc_iw_imp,bd_9ac_l_form_r2,bd_9eg_l_form_r2,bd_l_form,bd_size$dv_1483,bd_9d_size_cl,bd_9fh_sz_cl_r2
84,sdg_16_20,crim_off_cat,ilc_mddw06,ilc_mddw03,hlth_dhc130,pat_ep_ripc,sdg_05_10,hlth_cd_yinfo,pat_ep_nipc,hlth_cd_yperrto
85,isoc_cisci_sp20,isoc_ciegi_pb22,isoc_cisci_sp,isoc_sk_edic_i21,isoc_cisci_prv20,isoc_cisci_prv,isoc_ciegi_rtx,migr_dubri,migr_dubro,migr_dubti
86,gbv_ipv_cnq,gbv_ipv_ed,isoc_sk_cskl_i,gbv_st_perp,gbv_ipv_lim,gbv_ipv_frq,gbv_ipv_type,urb_percep,fobs_edu,gbv_npv_cnq
87,urb_percep,road_tf_veh_h,isoc_iw_imp,prc_hicp_fp,prc_hicp_aind,prc_hicp_cmon,prc_hicp_midx,prc_hicp_inw,prc_hicp_mmor,prc_hicp_manr
88,isoc_ec_inb21,isoc_cisce_ran2,urb_percep,isoc_ciwebn2,isoc_ciegi_rtx,isoc_sk_cskl_i,isoc_cisce_icn2,isoc_cisci_pb,isoc_ci_cm_pn2,isoc_iiot_use
89,bs_bs4_06,bs_bs8bdf_r2,bs_bs4_04,bs_bs4_05,bs_bs4_07,bs_bs4_03,isoc_cisci_prv,isoc_cisci_prv20,isoc_ciegi_rtx,isoc_sk_cskl_i
90,demo_find,fats_g1b_08,isoc_cisci_sp,isoc_cisci_prv,isoc_cisci_sp20,isoc_cisci_prv20,isoc_ciegi_rtx,med_ps12,naida_10_gdp,mar_go_am_el
91,isoc_ciegi_rtx,fats_g1a_08,med_ps22,educ_fipubin,educ_itertp,educ_ipart,rd_p_sen,isoc_cisci_sp20,isoc_cisci_sp,isoc_cisci_prv20
92,pat_ep_nipc,pat_ep_npct,pat_ep_ripc,urt_pat_epipc,met_pat_epipc,env_air_gge,sbs_ins_5a,isoc_ciwebn2,isoc_cisci_prv,bs_bs8ace_r2
93,sdg_15_42,ef_oga_rdsex,ef_oga_rdsize,isoc_ci_hm,isoc_sk_cskl_i,lan_use_ovw,inn_eff,ext_tic02,educ_uoe_lang01,ert_bil_eur_m
94,met_crim_gen,crim_gen,urt_crim_gen,crim_gen_reg,crim_hom_city,urb_percep,crim_hist,crim_off_cat,crim_off_cat$dv_348,crim_off_cat$dv_1401
95,fats_g1b_rd,sbs_sc_ovw,egi_va2,fats_g1b_03,fats_g1b_08,naio_10_cp16,naio_10_pyp16,naio_10_cp1700,naio_10_cp1610,naidq_10_gdp
96,isoc_iw_imp,avia_paexac,urb_percep,avia_goexac,iss_imp,migr_resshare,migr_reslong,migr_eirfs,inn_cis4_prod,inn_cis5_prod
97,spr_exp_fdi,dsb_sprex03,dsb_sprex01,dsb_sprex02,sbs_sc_ovw,sbs_sc_1b_se_r2,pipe_if_capac,inn_cis7_obj,inn_cis6_obj,bop_fdi6_pos
98,avia_par_fr,avia_tf_ala,avia_par_hu,avia_par_dk,avia_par_no,avia_par_lu,avia_par_si,avia_par_is,avia_par_lv,avia_par_rs
99,urb_clivcon,demo_r_pjanind3,urb_percep,educ_regind,demo_r_pjanind2,demo_r_pjanind2$dv_2145,urb_lpopstr,urb_cpopstr,bd_9bd_sz_cl_r2,isoc_cisci_prv
