question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
13,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,enpe_ilc_li09,ilc_lvhd01,tespn120,tesov092,tespn010,tespn110,tespn100
14,gov_eu_nfa,bs_bs4_06,gov_eu_fa,teilm100,tec00021,ten00141,tipspd30,tipsfs10,tipspd20,tipspc20
15,rd_p_sen,bs_bs8_00,iww_go_actygo07,tespn020,tespn250,tespn060,mar_sg_am_cv,tus_00travel,hlth_ehis_pe3e$dv_296,mar_mg_am_cvh
16,cens_91dame,cens_01ndcomf,apro_mk_fatprot,apro_mt_lsequi,rail_tf_ns15_mk,rail_tf_ns10_mk,met_d3dens,hlth_ehis_al3e$dv_450,hlth_ehis_al1e$dv_1142,ilc_scp07$dv_1064
17,tesov190,tessi121,icw_sr_02,icw_sr_09,tour_ce_oasc,hlth_ehis_sk3i$dv_304,earn_ses_pub2a$dv_1880,rd_p_sen,earn_ses_pub1i,lfst_dpw_06
18,tps00197,earn_ses_pub1i,tps00066,eq_pop03,ilc_igtp03,gbv_npv_ed,gbv_dv_ed,lfst_dpw_01,enps_edat_lfse4,gbv_ipv_ed
19,isoc_ci_cm_h$dv_507,med_ps32,tipsun30,sdg_07_50,nrg_ind_id3cf,enpe_isoc_ci_ifp_fu,tet00037,ilc_lvho50c,med_en24,ilc_lvho50d
20,enps_apro_cpnh1,med_ag2,tag00064,enpe_apro_cpnh1,tag00103,sbs_pen_7b1,ert_h_eur_a,prc_rem_avg,prc_rem_cs,tag00123
21,trng_cvt_21s,trng_cvt_22s,trng_cvt_22n1,trng_cvt_21n1,trng_cvt_24s,trng_cvt_23s,trng_cvt_24n1,trng_cvt_23n1,trng_cvt_25s,trng_cvt_25n1
22,med_ps32,enps_ilc_secure,enps_ilc_sanit,isoc_ci_cm_h$dv_507,env_wat_pop,med_en21,eq_pop03,tps00028,med_en47,orch_total
23,rail_tf_ns15_sk,rail_tf_ns20_sk,rail_tf_ns10_sk,rail_tf_ns_sk,rail_tf_ns15_mk,rail_tf_ns10_mk,rail_tf_ns15_li,mar_qg_qm_ewhk,rail_tf_ns15_no,rail_tf_ns15_lv
24,mar_qg_qm_ewhg,mar_qg_qm_ewhk,mar_qg_qm_ewht,mar_qg_qm_ewhd,mar_qg_qm_pwhr,mar_qg_qm_pwhc,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_pvh,mar_qg_qm_cwh
25,ilc_lvhd01,tesov092,tespn120,tespn010,tespn110,tespn100,tessi121,tps00151,tesem210,tespm060
26,ilc_igtp04,ilc_igtp03,icw_sr_02,icw_sr_09,ilc_chmd02,tessi121,icw_car_02,hbs_exp_t111,lfsi_jhh_a,tessi014
27,med_ps22,educ_iste,hlth_hlye_h,gbv_ch_rp,educ_ipart$dv_437,hlth_hlye$dv_287,egi_va1,educ_fiaid,trng_nfe5,gbv_any_cnq
28,ilc_li22$dv_2664,tessi220,tespm060,tesov092,tessi125,tessi010,tps00184,tespn010,tessi121,tepsr_spi110
29,ilc_igtp04,tsc00008,tet00028,tsc00031,teiet215,prc_hicp_cow,teiet160,teiet060,gba_nabste,sdg_02_30
30,rd_p_sen,tesov190,tespn250,tessi175,tessi166,tespm020,tespn270,hlth_ehis_am7sh,gbv_ch_rp,ilc_lvph02h
31,mar_qg_qm_ewhk,mar_qg_qm_cwh,mar_qg_qm_ewhg,mar_qg_qm_ewht,mar_qg_qm_ewhd,mar_qg_qm_pwhr,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_pwhc,tessi162
32,tet00001,hsw_ij_isna,hsw_aw_ws2,earn_mw_avgr2,earn_mw_avgr1,egi_tr1,ilc_pw01$dv_2761,tet00028,egr_conc,tran_sf_marves
33,tet00028,iss_18bfbck,prc_rem_cs,tet00001,trng_aes_186,isoc_cisci_f$dv_536,lan_settl,prc_rem_avg,hsw_ind,prc_colc_nat
34,mar_qg_qm_ewhk,hsw_aw_inaws,sdg_07_50,hsw_aw_nnaws,ilc_scp12$dv_2746,ilc_scp10$dv_2744,mar_qg_qm_pwhr,nrg_ind_id3cf,nrg_pc_206,gbv_ch_rp
35,gov_eu_nfa,tec00021,prc_rem_cs,ert_h_eur_a,rd_p_sen,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,prc_colc_ext,mar_qg_qm_ewhd
36,isoc_sk_cskl_i$dv_266,gbv_npv_cnq,hsw_aw_ws2,mar_qg_qm_ewhk,ilc_lvhd06,gbv_any_cnq,gbv_ipv_cnq,rail_ac_catnmbr,tran_sf_railac,tin00096
37,ilc_hch15,hlth_hc_phys,med_ps23,med_ps25,rd_p_sen,hlth_sha11_hf$dv_2821,tps00217,tps00167,ten00110,educ_uoe_grad07
38,iss_18bfmmag,iss_21gvcms,egi_so1,med_to11,enpe_tour_dem_tttot,tec00106,enps_tour_dem_tttot,bs_bs6_04,ei_bsci_m_r2,tipser11
39,migr_eilpop,tet00038,egr_mne,egr_mne_n2sc,tet00011,tet00012,tet00037,prc_rem_gdp,egr_emp,mar_qg_qm_ewht
40,tps00198,isoc_ci_ac_i$dv_1122,tespn250,tespn020,tespm090,tespn270,iww_go_actygo07,mar_qg_qm_pvh,lfst_dpw_02,lfso_12penstyp
41,mar_qg_qm_cwh,mar_qg_qm_pwhr,mar_qg_qm_pvh,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_pwhc,mar_qg_qm_ewhg,mar_qg_qm_ewhk,mar_qg_qm_ewht,mar_qg_qm_ewhd
42,teiet215,gov_eu_nfa,teiet210,teina436_r2,teina420_r2,teina444_r2,teiet150,teiet050,tsc00008,teicp120
43,lfsi_jhh_a,ert_h_eur_a,tps00181,rd_p_sen,teiet160,teiet060,tps00178,tepsr_sp320,hlth_hlye$dv_287,hlth_hlye_h
44,tespn250,earn_gr_gpgr2ag,hsw_aw_ws2,hsw_ind,tespn270,lfsi_jhh_a,hsw_ij_svsha,hsw_ij_svnia,tespn020,trng_nfe14
45,bs_bs14_04,isoc_sk_cskl_i$dv_266,ilc_lvho50d,isoc_ci_in_h$dv_512,med_ps414,hsw_aw_inaws,isoc_ci_cm_h$dv_507,hsw_aw_nnaws,ilc_scp12$dv_2746,ilc_scp10$dv_2744
46,trng_nfe18,edat_lfso_00t5,mar_mg_aa_cwh,sdg_08_10,tec00115,med_ps26,cei_pc035,enpe_nama_10_gdp,tepsr_wc310,prc_ppp_conv
47,med_rd2,enps_road_eqs_car,med_en3,road_eqr_tracm,road_eqs_roaene_h,rd_p_sen,med_rd5,med_rd3,road_go_ca_d_c,gbv_st_cnq
48,ilc_odbt13,ilc_odbt04,ilc_lvho07b,tessi162,ilc_mdho06q,icw_sr_10,icw_sr_03,ilc_hch17$dv_2261,ilc_odbt02,mar_qg_qm_ewhk
49,ilc_lvph02h,vit_bs4_lu,ilc_chmd02,vit_bs4_cy,edat_lfso_00t2,ilc_mdho02c,ilc_mdho03c,ilc_chmd01,ilc_lvps20,lfst_hhwahchi$dv_1872
50,med_ps32,env_ac_egss3,tin00127,enps_env_ww_con,med_en21,isoc_ci_ac_i$dv_1122,med_en47,hsw_ij_isna,eq_pop03,gbv_any_cnq
51,tipsii50,tipsii30,tipsii40,tipsii20,tipsii10,med_ec7,tipsbp70,enpe_spr_exp,tipsbp18,med_ec0
52,rail_tf_ns10_dk,rail_tf_ns_dk,rail_tf_ns15_dk,rail_tf_ns20_dk,mar_qg_qm_ewhk,mar_qg_qm_pwhl,rail_tf_ns10_mk,rail_tf_ns10_li,rail_tf_ns10_no,rail_tf_ns10_lv
53,mar_qg_qm_ewhk,rd_p_sen,mar_mg_am_pvh,mar_qg_qm_pwhc,mar_qg_qm_pvh,tran_im_uroad,iww_go_actygo07,med_ma5,mar_v_est,iww_ec_ent_c
54,lfst_dpw_02,tqoe3b4,med_ps412,tipslm15,earn_gr_goeg,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,lfst_dpw_05,hsw_aw_ws2
55,mar_v_est,mar_qg_qm_ewhk,mar_qg_qm_pwhl,enpe_sts_incopr,mar_qg_qm_pvh,sts_tot_prod_a,teiis270,teiis500,teiis090,enpe_sts_trtu1
56,rd_p_sen,ilc_lvps20,tespm020,educ_uoe_lang03,educ_iste,sdg_09_60,tesov190,enps_nrg_bal_c,tespn250,met_d3dens
57,tps00194,isoc_sk_cskl_i$dv_266,crim_hom_city,crim_hom_vcit,crim_hom_ocit,tgs00052,isoc_r_cux_i,tespn250,ilc_mddd04b$dv_2721,tin00127
58,med_ps12,tps00029,tps00204,tps00199,enps_demo_gind,tps00019,tps00206,tps00216,nrg_d_sercv,demo_r_find3$dv_1541
59,mar_qg_qm_ewhk,lfst_dpw_06,tran_im_uroad,env_ac_mid,iss_21covt,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,mar_sg_am_ewx,prc_colc_ext
60,earn_mw_avgr2,tps00215,ilc_scp12$dv_2746,ilc_scp10$dv_2744,iss_21covt,ilc_scp07$dv_1064,rd_p_sen,hlth_ehis_al3i$dv_461,hlth_ehis_al3e$dv_450,earn_mw_avgr1
61,tai08,hsw_aw_ws2,cei_gsr011,tag00057,med_en2,env_ac_egss3,mar_qg_qm_ewhg,hsw_aw_nnasv,mar_qg_qm_ewht,mar_qg_qm_cwh
62,teimf250,tipser13,tipser11,tipser12,tipser10,tipser20,hsw_ind,tec00114,tag00057,sdg_10_10
63,tipspc15,tipspc13,tipspc25,tipspc23,tipspc10,tipspc20,tsc00001,rd_p_sen,gbv_npv_cnq,tipsii50
64,mar_qg_qm_ewhk,mar_qg_qm_pwhr,hsw_aw_nnaws,hsw_aw_inaws,mar_qg_qm_ewhg,mar_qg_qm_ewht,mar_qg_qm_ewhd,gbv_ch_rp,apro_mk_fatprot,hbs_exp_t111
65,educ_iste,educ_uoe_fini06,educ_fiaid,med_ps23,educ_uoe_enra07,educ_uoe_fina01,enpe_educ_uoe_enra02,edat_lfso_00t2,med_ps25,lfst_dpw_04
66,eq_pop03,trng_nfe16,lfst_dpw_06,hsw_ij_isna,qoe_ewcs_7b2,lfst_dpw_02,qoe_ewcs_6_6,tsc00025,qoe_ewcs_7b1,qoe_ewcs_4a5
67,tespm020,tessi014,tesov190,tessi121,gbv_ch_rp,tessi175,tessi166,tespn250,ilc_scp12$dv_2746,ilc_scp10$dv_2744
68,mar_qg_qm_ewhk,mar_sg_am_ewx,med_ma5,mar_v_est,gbv_st_cnq,mar_qg_qm_pwhl,tps00048,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq
69,gbv_awr_serv,gbv_awr_leg,lfst_dpw_06,sdg_05_10,gbv_ipv_comm,gbv_shw_comm,lfsi_jhh_a,gbv_dv_age,lfst_dpw_02,gbv_ipv_age
70,mar_qg_qm_ewht,mar_qg_qm_pwhc,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_pwhr,mar_qg_qm_ewhg,mar_qg_qm_ewhk,mar_qg_qm_ewhd,mar_qg_qm_cwh,mar_qg_qm_pvh
71,earn_mw_avgr2,earn_mw_avgr1,gov_eu_nfa,gbv_npv_cnq,med_ec5,tesem190,tps00046,lfst_dpw_06,ilc_lvhd02,rd_p_sen
72,env_ac_egss3,ert_h_eur_a,teina404_r2,teiet215,teina406_r2,enps_env_wat_cat,teina110,hsw_ij_isna,enpe_nama_10_a10,enps_nama_10_a10
73,sdg_15_10,irt_h_cgby_m,road_eqs_trams,for_profnc,for_area,irt_h_cgby_q,for_protect,tag00007,apri_lprc_h,apri_lrnt_h
74,isoc_ci_cm_h$dv_507,trng_aes_187,tespn250,tin00116,tespn020,tag00020,enps_edat_lfse4,tin00095,lfst_dpw_06,tps00066
75,road_go_ca_d_c,road_tert_go,med_rd6,road_go_ca_d_ha,road_go_ca_c,gbv_st_cnq,mar_qg_qm_pwhl,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq
76,ipr_da_typ,met_ipr_dfa,met_ipr_da,met_ipr_dr,met_ipr_dfapop,met_ipr_dapop,apro_mt_lsequi,sbs_cre_pintpay,sbs_cre_pintrex,ipr_dfa_tot
77,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,hsw_ind,mar_qg_qm_pvh,mar_qg_qm_pwhc,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_ewht,mar_qg_qm_pwhr
78,mar_v_est,mar_qg_qm_ewhk,mar_qg_qm_pwhl,mar_qg_qm_pvh,med_ma5,tps00176,tps00177,tps00024,med_ec1,gbv_any_cnq
79,orch_olives3,orch_olives2,orch_olives1,orch_total,orch_grapes3,tai10,bs_bs8_00,isoc_cbs,hlth_ehis_sk3i$dv_304,hlth_ehis_sk3e$dv_298
80,gbv_ch_rp,gbv_st_rp,gbv_shw_rp,gbv_awr_leg,egr_mne_n2sc,gbv_ipv_rp,gbv_npv_rp,gbv_any_rp,lfsi_jhh_a,gbv_awr_serv
81,med_air2,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,ilc_iw06,tepsr_sp210,gov_eu_nfa,enps_nrg_bal_c,bs_bs8_00,tps00173
82,rail_tf_ns15_cz,rail_tf_ns20_cz,mar_qg_qm_ewhk,mar_qg_qm_pwhl,rail_tf_ns15_mk,rail_tf_ns15_li,mar_v_est,rail_tf_ns15_no,rail_tf_ns15_lv,rail_tf_ns15_ee
83,lfsi_jhh_a,tgs00108,iss_21gvcms,edat_lfso_00t4,mar_qg_qm_cwh,lfst_r_edatd_22,teiis230,teiis270,sts_tot_prod_a,ilc_lvho50c
84,sdg_16_20,lfst_dpw_06,iss_21covt,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,gbv_ch_rp,hlth_cd_aperrto,sdg_05_10,gbv_st_rp
85,tps00204,enps_demo_gind,med_ps12,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,prc_colc_ext,hlth_hlye_h,hlth_hlye$dv_287,rail_tf_ns15_mk
86,rd_p_sen,tsc00031,gbv_npv_du,gbv_npv_cnq,egr_mne_n2sc,tet00038,gbv_ipv_du,gbv_dv_du,gbv_npv_rp,hsw_aw_ws2
87,road_tf_buscoa,tran_im_urail,med_air3,med_rd6,enps_avia_fr,med_rd5,mar_qg_qm_ewhk,med_air5,med_air4,enps_tour_occ_arnat
88,tin00091,enpe_isoc_ci_ifp_fu,hlth_ehis_al1e$dv_1142,ilc_scp07$dv_1064,ilc_scp12$dv_2746,ilc_scp10$dv_2744,isoc_ci_ac_i$dv_1122,cult_pcs_nws,tin00092,tin00028
89,bs_bs4_06,gov_eu_nfa,bs_bs7_00,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,bs_bs8_00,mar_qg_qm_ewhk,lfst_dpw_11,tin00116
90,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,tps00017,ilc_camnothg0,ilc_camnforg0,ert_bil_conv_a,ert_h_eur_a,ert_bil_eur_a$dv_861,med_ps12
91,edat_lfso_00t2,med_ps24,rd_p_sen,med_ps422,enps_edat_lfse3,educ_ipart$dv_437,med_ec0,educ_fiaid,med_ps423,tps00176
92,ipr_da_tot,ipr_da_typ,ipr_da_pop,ipr_da_gdp,med_en46,met_ipr_da,urt_ipr_da,tps00176,tps00177,tps00024
93,tai11,ilc_mddd04b$dv_2721,sdg_14_60,tag00094,ipr_da_typ,mar_qg_qm_ewhk,tps00217,med_ps423,mar_sg_am_ewx,edat_lfso_00t2
94,irt_h_cgby_m,irt_h_cgby_q,iss_18bfbck,mar_pa_qm_me,trng_aes_186,irt_lt_gby10_m,isoc_cisci_f$dv_536,migr_eilpop,trng_nfe18,sdg_16_30
95,egi_va2,sdg_17_20,teina436_r2,teina438_r2,ilc_mddd04b$dv_2721,egi_em3,teina416_r2,teina412_r2,tag00056,teina408_r2
96,tin00174,tin00175,tin00172,enps_tour_occ_arnat,tin00171,tin00181,tin00176,enps_tour_cap_nat,enps_tour_occ_ninat,ilc_lvhd02
97,pipe_if_capac,enpe_isoc_ci_ifp_fu,hlth_ehis_sk3i$dv_1141,hlth_ehis_sk3e$dv_1127,med_en46,hlth_ehis_al1e$dv_1142,ilc_scp07$dv_1064,ilc_scp12$dv_2746,sdg_03_70,hlth_ehis_sk3i$dv_304
98,teiis080,hlth_silc_08$dv_1146,teiis011,ilc_hch15,tespm110,sdg_03_60,env_air_no2,ext_ser_bec01,lfsi_jhh_a,iss_21gvcms
99,tipslm80,tesem140,tipsun20,lfst_dpw_06,eq_pop03,tipsun30,tipslm70,lfst_dpw_02,educ_uoe_enra05$dv_441,enps_edat_lfse3
